popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World,is_hit
22,227333,0,0.668,0.451,4,-6.167,0,0.0302,0.283,0.0,0.108,0.59,122.063,4,0,0,1,0,0,0,0,0,0,0,0,0
56,239010,0,0.554,0.755,5,-6.334,1,0.0885,0.143,0.0,0.254,0.342,156.152,4,0,0,0,0,0,0,0,1,0,0,0,1
56,247862,0,0.567,0.546,4,-8.316,1,0.0405,0.301,1.69e-06,0.129,0.401,113.806,4,0,0,0,0,0,0,0,0,0,1,1,1
48,210750,0,0.639,0.549,1,-7.992,0,0.044,0.616,0.0561,0.181,0.435,100.014,4,0,0,0,0,0,0,0,0,1,0,0,0
33,234031,0,0.599,0.446,11,-8.99,0,0.0344,0.858,0.000164,0.103,0.15,105.347,4,0,1,0,0,0,0,0,0,0,0,0,0
32,234851,0,0.483,0.754,0,-7.514,0,0.0507,0.0385,0.0857,0.08,0.199,105.026,4,0,1,0,0,0,0,0,0,0,0,0,0
51,159973,0,0.639,0.423,11,-13.61,0,0.0637,0.000273,0.865,0.117,0.0389,133.022,4,0,1,0,0,0,0,0,0,0,0,0,1
0,213120,0,0.751,0.538,11,-13.318,1,0.0316,0.0639,0.000101,0.0767,0.753,123.028,4,0,0,0,0,0,0,0,1,0,0,0,0
27,263000,0,0.807,0.793,1,-7.803,1,0.0482,0.316,0.000418,0.046,0.968,100.328,4,0,0,0,1,0,0,0,0,0,0,0,0
0,336200,0,0.403,0.185,10,-20.519,0,0.0417,0.962,0.911,0.0958,0.162,104.517,3,1,0,0,0,0,1,0,1,0,0,0,0
