acousticness,instrumentalness,duration_ms,energy,loudness,valence,speechiness,liveness,danceability,tempo,is_hit,popularity,genre_Art_Instrumental,genre_Electronic_Dance,genre_Folk_Country_Blues,genre_Latin_Brazilian,genre_Metal_HardRock,genre_Mood_Ambient,genre_Other,genre_Pop,genre_RnB_Soul,genre_Rock_Alternative,genre_World
0.216,0.378,217266,0.552,-9.204,0.503,0.0385,0.101,0.293,126.901,0,31,0,0,0,0,0,0,0,0,0,1,0
0.393,0.000477,350013,0.535,-8.987,0.292,0.0765,0.139,0.754,121.98,0,34,0,1,0,0,0,0,0,0,0,0,0
0.00346,1.81e-05,229573,0.844,-5.357,0.823,0.0343,0.333,0.734,117.306,1,62,0,1,0,0,0,0,0,0,0,0,0
0.00831,0.0,224626,0.953,-1.419,0.695,0.063,0.432,0.502,167.908,1,55,0,0,0,0,0,0,0,1,0,0,0
0.659,0.0,214240,0.495,-6.662,0.308,0.0343,0.0754,0.532,124.936,1,58,1,0,0,0,0,0,0,0,0,0,0
0.358,0.0,209157,0.565,-4.898,0.311,0.0608,0.0448,0.36,173.281,1,69,0,0,0,0,0,0,0,1,0,0,0
0.0011,0.00279,286533,0.881,-3.458,0.384,0.0403,0.124,0.426,140.004,1,51,0,0,0,0,0,0,0,0,0,1,0
0.246,1.45e-05,147143,0.718,-4.579,0.88,0.0581,0.0892,0.895,100.036,1,58,0,0,0,0,0,0,0,0,0,0,1
0.0411,0.0,217227,0.795,-5.03,0.599,0.0284,0.0892,0.606,109.069,0,1,0,0,1,0,0,0,0,0,0,0,0
0.805,0.0,201613,0.484,-8.201,0.843,0.0397,0.881,0.567,80.557,0,45,0,0,0,1,0,0,0,0,1,0,0
0.283,0.0,227333,0.451,-6.167,0.59,0.0302,0.108,0.668,122.063,0,22,0,0,1,0,0,0,0,0,0,0,0
0.143,0.0,239010,0.755,-6.334,0.342,0.0885,0.254,0.554,156.152,1,56,0,0,0,0,0,0,0,1,0,0,0
0.301,1.69e-06,247862,0.546,-8.316,0.401,0.0405,0.129,0.567,113.806,1,56,0,0,0,0,0,0,0,0,0,1,1
0.616,0.0561,210750,0.549,-7.992,0.435,0.044,0.181,0.639,100.014,0,48,0,0,0,0,0,0,0,0,1,0,0
