popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,is_hit
61,222133,0,0.715,0.864,11,-5.013,0,0.0751,0.0188,0.0,0.719,0.57,122.016,4,pop-film,1
32,317840,0,0.467,0.569,1,-5.958,0,0.0283,0.0388,0.0348,0.0975,0.049,134.945,3,grunge,0
69,248946,0,0.45,0.983,5,-2.246,1,0.282,0.0186,0.0,0.265,0.314,179.041,4,anime,1
56,221147,0,0.708,0.59,4,-7.848,1,0.0374,0.3,0.0,0.359,0.874,140.031,4,emo,1
62,137957,0,0.582,0.891,1,-4.709,1,0.0947,0.538,0.0,0.378,0.661,155.907,3,sertanejo,1
0,193143,0,0.887,0.388,8,-14.505,1,0.349,0.739,0.143,0.106,0.205,120.035,4,pop,0
67,158294,0,0.716,0.77,3,-4.071,0,0.158,0.144,0.0,0.0211,0.924,170.045,4,pop,1
45,256000,0,0.476,0.481,6,-9.441,0,0.0302,0.733,0.123,0.0504,0.152,130.031,4,indian,0
52,247306,0,0.42,0.964,5,-3.35,1,0.0902,0.015,0.0,0.207,0.584,170.019,4,anime,1
37,133746,0,0.744,0.695,1,-7.847,0,0.234,0.476,6.07e-05,0.113,0.266,139.956,4,emo,0
58,302533,0,0.557,0.933,6,-3.7,0,0.035,2.14e-05,8.66e-06,0.117,0.435,110.946,4,grunge,1
64,325172,0,0.508,0.761,8,-5.118,0,0.0422,0.0933,2e-06,0.268,0.339,100.011,4,pop-film,1
50,136997,1,0.891,0.434,3,-11.964,0,0.131,0.459,2.21e-06,0.0857,0.543,115.014,4,sad,1
60,114285,1,0.543,0.61,9,-7.646,1,0.0646,0.205,0.0,0.133,0.101,177.999,4,sad,1
66,212853,0,0.768,0.826,5,-4.904,1,0.0335,0.00199,0.000374,0.031,0.926,114.997,4,emo,1
52,146666,0,0.733,0.402,9,-8.774,1,0.0337,0.707,0.0,0.111,0.15,108.005,4,sad,1
45,248570,0,0.654,0.722,7,-2.334,1,0.0349,0.0969,0.0,0.522,0.714,130.598,3,sertanejo,0
44,194245,0,0.667,0.193,4,-17.939,1,0.0316,0.867,0.000222,0.108,0.307,90.77,4,indian,0
41,260440,0,0.419,0.899,11,-3.405,1,0.0499,0.00403,0.0,0.114,0.465,149.009,4,emo,0
56,217226,0,0.292,0.906,8,-4.073,1,0.0605,0.000256,0.000743,0.231,0.348,179.004,4,anime,1
44,217331,0,0.564,0.576,6,-10.057,1,0.0349,0.26,0.0,0.13,0.377,90.013,4,indian,0
55,248613,0,0.701,0.906,1,-6.251,0,0.152,0.245,5.62e-05,0.0299,0.759,157.841,4,indian,1
44,179200,1,0.747,0.892,6,-3.963,0,0.243,0.346,2.01e-06,0.0781,0.57,149.905,4,anime,0
0,256133,0,0.559,0.487,6,-9.349,1,0.0266,0.0333,0.0826,0.129,0.145,149.959,4,grunge,0
40,177013,1,0.425,0.814,2,-5.186,1,0.0478,0.00142,0.0,0.125,0.283,151.921,4,emo,0
50,173362,0,0.752,0.342,6,-14.416,0,0.0956,0.881,0.00153,0.0885,0.309,99.987,4,sad,1
61,106020,1,0.803,0.789,10,-3.434,0,0.0383,0.0304,0.0,0.378,0.647,119.999,4,emo,1
52,158446,0,0.792,0.718,1,-4.619,1,0.044,0.39,7.5e-05,0.301,0.545,103.049,4,indian,1
68,148556,0,0.475,0.0989,10,-9.55,1,0.0474,0.853,0.0,0.271,0.3,133.713,4,chill,1
0,175238,1,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4,pop,0
35,255893,0,0.457,0.893,6,-1.926,1,0.0567,5.01e-05,0.000195,0.336,0.614,155.062,4,anime,0
76,167922,0,0.689,0.771,5,-3.618,1,0.0548,0.00776,0.0,0.521,0.482,157.052,4,k-pop,1
65,317739,0,0.875,0.539,3,-8.364,0,0.0367,0.0586,0.0047,0.116,0.305,115.004,4,k-pop,1
56,254999,0,0.77,0.834,0,-3.375,0,0.0428,0.61,1.28e-06,0.0844,0.628,100.997,4,pop-film,1
60,232966,0,0.813,0.876,1,-2.92,0,0.0922,0.024,0.0,0.287,0.757,98.989,4,k-pop,1
48,187653,0,0.495,0.536,6,-7.157,1,0.0316,0.705,0.0,0.953,0.696,150.081,4,sertanejo,0
48,292546,0,0.71,0.519,1,-9.507,1,0.0348,0.709,0.000397,0.074,0.81,149.982,1,k-pop,0
47,185149,0,0.668,0.682,9,-7.999,1,0.0419,0.00143,0.00469,0.467,0.565,139.998,4,indian,0
56,120293,0,0.58,0.903,4,-4.909,1,0.142,0.0291,0.0,0.072,0.218,81.036,4,grunge,1
0,183066,0,0.623,0.668,6,-7.282,0,0.0531,0.475,0.0,0.0862,0.823,161.948,4,pop,0
57,116476,0,0.489,0.687,7,-7.762,1,0.0333,0.14,0.731,0.131,0.187,77.093,4,anime,1
53,184866,0,0.524,0.94,9,-3.994,1,0.111,0.000217,0.0,0.623,0.664,150.184,4,grunge,1
56,220013,0,0.404,0.726,11,-2.926,1,0.028,0.0501,0.0,0.214,0.408,168.878,4,emo,1
44,186985,0,0.56,0.152,9,-16.463,1,0.0537,0.269,0.000108,0.155,0.293,156.168,4,indian,0
45,432746,0,0.772,0.633,6,-9.397,0,0.0688,0.0197,0.000563,0.153,0.614,124.611,4,k-pop,0
58,175000,0,0.73,0.705,5,-4.358,0,0.0328,0.286,0.0,0.113,0.655,139.924,4,pop-film,1
